team1,team2,score1,score2,event,date,winner
regain,Blitzkrieg,2,1,Dust2.us Eagle Masters Series 6,Results for February 3rd 2026,regain
SportsBetExpert,Chicken Coop,2,0,Dust2.us Eagle Masters Series 6,Results for February 3rd 2026,SportsBetExpert
LAG,Reign Above,2,0,Dust2.us Eagle Masters Series 6,Results for February 3rd 2026,LAG
Outfit 49,Aether,0,2,Dust2.us Eagle Masters Series 6,Results for February 3rd 2026,Aether
FlyQuest RED,Wildcard,0,2,Dust2.us Eagle Masters Series 6,Results for February 3rd 2026,Wildcard
regain,mouse,2,0,CCT Season 3 North America Series 3,Results for February 3rd 2026,regain
ex-KRÜ,Prison Breakers,1,0,CCT Season 3 South America Series 8,Results for February 2nd 2026,ex-KRÜ
Nemiga,Nuclear TigeRES,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemiga
FURIA,Natus Vincere,2,1,IEM Kraków 2026,Results for February 2nd 2026,FURIA
FUT,Astralis,1,2,IEM Kraków 2026,Results for February 2nd 2026,Astralis
BET-M,Nemesis,1,2,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemesis
MINLATE,FORZE Reload,0,2,CCT Season 3 Europe Series 14,Results for February 2nd 2026,FORZE Reload
VP.Prodigy,QUAZAR,2,0,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 2nd 2026,VP.Prodigy
Mythic,SportsBetExpert,0,1,CCT Season 3 North America Series 3,Results for February 2nd 2026,SportsBetExpert
FAVBET,Fingers Crossed,2,1,CCT Season 3 Europe Series 14,Results for February 2nd 2026,FAVBET
Inner Circle,Betclic,1,2,NODWIN Clutch Series 4,Results for February 2nd 2026,Betclic
NRG,Falcons,1,2,IEM Kraków 2026,Results for February 2nd 2026,Falcons
FaZe,BC.Game,2,1,IEM Kraków 2026,Results for February 2nd 2026,FaZe
WHITEBIRD,RUSTEC,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,WHITEBIRD
Omega,Bebop,2,0,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 2nd 2026,Omega
ARCRED,K27,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,ARCRED
Sangal,Nemiga,1,0,NODWIN Clutch Series 4,Results for February 2nd 2026,Sangal
9INE,MOUZ NXT,2,1,NODWIN Clutch Series 4,Results for February 2nd 2026,9INE
MOUZ,Aurora,0,2,IEM Kraków 2026,Results for February 2nd 2026,Aurora
Pigeons,Rebels,1,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 2nd 2026,Rebels
3DMAX,Vitality,0,2,IEM Kraków 2026,Results for February 2nd 2026,Vitality
Nuclear TigeRES,Nemesis,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,Nuclear TigeRES
1win,Johnny Speeds,2,0,CCT Season 3 Europe Series 14,Results for February 2nd 2026,1win
K27,RUSTEC,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,K27
FAVBET,ex-RUBY,2,1,European Pro League Series 4,Results for February 2nd 2026,FAVBET
Nemiga,BET-M,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemiga
ARCRED,WHITEBIRD,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,ARCRED
magic,Oramond,0,1,European Pro League Series 4,Results for February 2nd 2026,Oramond
WW,Aurora Young Blud,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 2nd 2026,Aurora Young Blud
Nuclear TigeRES,UNiTY,2,0,NODWIN Clutch Series 4,Results for February 2nd 2026,Nuclear TigeRES
MIBR,RED Canids,2,1,FiRe CONTER Season 1,Results for February 2nd 2026,MIBR
BET-M,JUMBO,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,BET-M
RED Canids,BESTIA,2,1,FiRe CONTER Season 1,Results for February 1st 2026,RED Canids
ex-RUBY,MOUZ NXT,2,0,Exort Series 21,Results for February 1st 2026,ex-RUBY
PARIVISION,Astralis,1,2,IEM Kraków 2026,Results for February 1st 2026,Astralis
Natus Vincere,Spirit,0,2,IEM Kraków 2026,Results for February 1st 2026,Spirit
Fingers Crossed,los kogutos,1,2,CCT Season 3 Europe Series 14,Results for February 1st 2026,los kogutos
Nemesis,Oxuji,2,0,Exort Cataclysm Season 1,Results for February 1st 2026,Nemesis
Gluck,JUMBO,0,2,Exort Cataclysm Season 1,Results for February 1st 2026,JUMBO
The MongolZ,FURIA,1,2,IEM Kraków 2026,Results for February 1st 2026,FURIA
ODDIK,MIBR,1,2,FiRe CONTER Season 1,Results for February 1st 2026,MIBR
G2,FUT,2,1,IEM Kraków 2026,Results for February 1st 2026,G2
MUERTA,Oxuji,0,2,Exort Cataclysm Season 1,Results for February 1st 2026,Oxuji
Eternal Fire,MASONIC,2,0,A1 Gaming League Season 11,Results for February 1st 2026,Eternal Fire
ex-RUBY,FORZE Reload,2,0,CCT Season 3 Europe Series 14,Results for February 1st 2026,ex-RUBY
MOUZ NXT,BET-M,1,0,Exort Series 21,Results for February 1st 2026,MOUZ NXT
Nuclear TigeRES,BET-M,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,Nuclear TigeRES
Acend,BRUTE,0,2,A1 Gaming League Season 11,Results for February 1st 2026,BRUTE
Falcons,Aurora,1,2,IEM Kraków 2026,Results for February 1st 2026,Aurora
Nemesis,Nemiga,0,2,Exort Cataclysm Season 1,Results for February 1st 2026,Nemiga
ex-RUBY,MASONIC,2,0,Exort Series 21,Results for February 1st 2026,ex-RUBY
MOUZ,NRG,2,0,IEM Kraków 2026,Results for February 1st 2026,MOUZ
Sashi,Oramond,1,2,European Pro League Series 4,Results for February 1st 2026,Oramond
magic,MINLATE,2,0,CCT Season 3 Europe Series 14,Results for February 1st 2026,magic
Phantom,STATE,0,2,A1 Gaming League Season 11,Results for February 1st 2026,STATE
mix52,DEPO,2,0,1xBet Winter Battle Cup 2026,Results for February 1st 2026,mix52
BET-M,JUMBO,2,0,Exort Cataclysm Season 1,Results for February 1st 2026,BET-M
1win,magic,1,2,European Pro League Series 4,Results for February 1st 2026,magic
Nemiga,Oxuji,2,0,Exort Cataclysm Season 1,Results for February 1st 2026,Nemiga
Nemesis,MUERTA,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,Nemesis
Underground,Ding Cuts,2,0,DFRAG Open Series 3,Results for February 1st 2026,Underground
Nuclear TigeRES,Gluck,2,0,Exort Cataclysm Season 1,Results for February 1st 2026,Nuclear TigeRES
Ding Cuts,Shanghai Sharks,2,1,DFRAG Open Series 3,Results for February 1st 2026,Ding Cuts
Mindfreak,Underground,2,0,DFRAG Open Series 3,Results for February 1st 2026,Mindfreak
BESTIA,Marsborne,2,1,FiRe CONTER Season 1,Results for February 1st 2026,BESTIA
Mindfreak,Ding Cuts,2,0,DFRAG Open Series 3,Results for February 1st 2026,Mindfreak
Underground,Shanghai Sharks,2,0,DFRAG Open Series 3,Results for February 1st 2026,Underground
MIBR,9z,2,0,FiRe CONTER Season 1,Results for February 1st 2026,MIBR
RUSTEC,WW,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,RUSTEC
WHITEBIRD,FORZE Reload,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,WHITEBIRD
Procyon,Marsborne,0,2,FiRe CONTER Season 1,Results for February 1st 2026,Marsborne
Sharks,9z,1,2,FiRe CONTER Season 1,Results for January 31st 2026,9z
Virtus.pro,WW,1,2,Exort Cataclysm Season 1,Results for January 31st 2026,WW
ODDIK,Bounty Hunters,2,1,FiRe CONTER Season 1,Results for January 31st 2026,ODDIK
Vitality,BC.Game,2,0,IEM Kraków 2026,Results for January 31st 2026,Vitality
FaZe,3DMAX,0,2,IEM Kraków 2026,Results for January 31st 2026,3DMAX
AM,FAVBET,0,2,CCT Season 3 Europe Series 14,Results for January 31st 2026,FAVBET
WATERMELON,FORZE Reload,0,2,Exort Cataclysm Season 1,Results for January 31st 2026,FORZE Reload
AaB,Washington,2,1,A1 Gaming League Season 11,Results for January 31st 2026,AaB
Spirit,Astralis,2,0,IEM Kraków 2026,Results for January 31st 2026,Spirit
ex-RUBY,KOLESIE,2,1,European Pro League Series 4,Results for January 31st 2026,ex-RUBY
ShindeN,RED Canids,0,2,FiRe CONTER Season 1,Results for January 31st 2026,RED Canids
1win,Leo,2,0,CCT Season 3 Europe Series 14,Results for January 31st 2026,1win
RUSTEC,ARCRED,1,2,Exort Cataclysm Season 1,Results for January 31st 2026,ARCRED
FURIA,FUT,0,2,IEM Kraków 2026,Results for January 31st 2026,FUT
FAVBET,Fingers Crossed,0,2,NODWIN Clutch Series 4,Results for January 31st 2026,Fingers Crossed
Natus Vincere,PARIVISION,2,1,IEM Kraków 2026,Results for January 31st 2026,Natus Vincere
Imperial,Bounty Hunters,0,2,FiRe CONTER Season 1,Results for January 31st 2026,Bounty Hunters
K27,WHITEBIRD,2,1,Exort Cataclysm Season 1,Results for January 31st 2026,K27
los kogutos,777,2,0,A1 Gaming League Season 11,Results for January 31st 2026,los kogutos
Fluxo,RED Canids,0,2,FiRe CONTER Season 1,Results for January 31st 2026,RED Canids
Inner Circle,FAVBET,1,2,European Pro League Series 4,Results for January 31st 2026,FAVBET
The MongolZ,G2,0,2,IEM Kraków 2026,Results for January 31st 2026,G2
Johnny Speeds,Metizport,2,0,CCT Season 3 Europe Series 14,Results for January 31st 2026,Johnny Speeds
ARCRED,WW,2,1,Exort Cataclysm Season 1,Results for January 31st 2026,ARCRED
Fingers Crossed,CSDIILIT,1,0,A1 Gaming League Season 11,Results for January 31st 2026,Fingers Crossed
GenOne,AaB,2,0,NODWIN Clutch Series 4,Results for January 31st 2026,GenOne
FORZE Reload,WHITEBIRD,0,2,Exort Cataclysm Season 1,Results for January 31st 2026,WHITEBIRD
Rooster,Mc,2,1,DFRAG Open Series 3,Results for January 31st 2026,Rooster
K27,WATERMELON,2,0,Exort Cataclysm Season 1,Results for January 31st 2026,K27
Virtus.pro,RUSTEC,0,2,Exort Cataclysm Season 1,Results for January 31st 2026,RUSTEC
MOUZ NXT,ARCRED,1,0,NODWIN Clutch Series 4,Results for January 31st 2026,MOUZ NXT
The Gentlemans Kennel,Mc,0,2,DFRAG Open Series 3,Results for January 31st 2026,Mc
Rooster,THUNDER dOWNUNDER,0,2,DFRAG Open Series 3,Results for January 31st 2026,THUNDER dOWNUNDER
THUNDER dOWNUNDER,Mc,2,1,DFRAG Open Series 3,Results for January 31st 2026,THUNDER dOWNUNDER
Sharks,MIBR,1,2,FiRe CONTER Season 1,Results for January 31st 2026,MIBR
Rooster,The Gentlemans Kennel,2,0,DFRAG Open Series 3,Results for January 31st 2026,Rooster
LUNA,9z,0,2,FiRe CONTER Season 1,Results for January 31st 2026,9z
MIBR,9z,2,1,FiRe CONTER Season 1,Results for January 31st 2026,MIBR
Sharks,LUNA,2,0,FiRe CONTER Season 1,Results for January 30th 2026,Sharks
SINNERS,Nemiga,2,0,CCT Season 3 Europe Series 13,Results for January 30th 2026,SINNERS
Oramond,magic,2,0,CCT Season 3 Europe Series 14,Results for January 30th 2026,Oramond
FUT,Liquid,2,0,IEM Kraków 2026 Stage 1,Results for January 30th 2026,FUT
GamerLegion,Astralis,0,2,IEM Kraków 2026 Stage 1,Results for January 30th 2026,Astralis
Marsborne,BESTIA,1,2,FiRe CONTER Season 1,Results for January 30th 2026,BESTIA
Procyon,Isurus,2,0,FiRe CONTER Season 1,Results for January 30th 2026,Procyon
KOLESIE,MINLATE,2,1,CCT Season 3 Europe Series 14,Results for January 30th 2026,KOLESIE
paiN,Aurora,0,2,IEM Kraków 2026 Stage 1,Results for January 30th 2026,Aurora
Nemiga,BIG,2,1,CCT Season 3 Europe Series 13,Results for January 30th 2026,Nemiga
BC.Game,Ninjas in Pyjamas,2,0,IEM Kraków 2026 Stage 1,Results for January 30th 2026,BC.Game
Eternal Fire,MOUZ NXT,0,2,NODWIN Clutch Series 4,Results for January 30th 2026,MOUZ NXT
BESTIA,Isurus,2,0,FiRe CONTER Season 1,Results for January 30th 2026,BESTIA
Astralis,NRG,1,2,IEM Kraków 2026 Stage 1,Results for January 30th 2026,NRG
Marsborne,Procyon,2,0,FiRe CONTER Season 1,Results for January 30th 2026,Marsborne
GamerLegion,HEROIC,2,0,IEM Kraków 2026 Stage 1,Results for January 30th 2026,GamerLegion
FAVBET,Betclic,1,2,NODWIN Clutch Series 4,Results for January 30th 2026,Betclic
AM,los kogutos,0,2,CCT Season 3 Europe Series 14,Results for January 30th 2026,los kogutos
1win,SINNERS,1,2,CCT Season 3 Europe Series 13,Results for January 30th 2026,SINNERS
Oramond,Bebop,2,0,European Pro League Series 4,Results for January 30th 2026,Oramond
Sashi,MASONIC,2,1,European Pro League Series 4,Results for January 30th 2026,Sashi
AaB,illwill,1,2,NODWIN Clutch Series 4,Results for January 30th 2026,illwill
ex-RUBY,Leo,2,0,CCT Season 3 Europe Series 14,Results for January 30th 2026,ex-RUBY
Fluxo,ShindeN,0,2,FiRe CONTER Season 1,Results for January 30th 2026,ShindeN
OUTPLAYED,RED Canids,0,2,FiRe CONTER Season 1,Results for January 30th 2026,RED Canids
RED Canids,ShindeN,0,2,FiRe CONTER Season 1,Results for January 30th 2026,ShindeN
1win,Fingers Crossed,1,2,CCT Season 3 Europe Series 14,Results for January 29th 2026,Fingers Crossed
Fluxo,OUTPLAYED,2,0,FiRe CONTER Season 1,Results for January 29th 2026,Fluxo
BET-M,BIG,1,2,CCT Season 3 Europe Series 13,Results for January 29th 2026,BIG
Liquid,G2,1,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,G2
Imperial,ODDIK,1,2,FiRe CONTER Season 1,Results for January 29th 2026,ODDIK
Legacy,FUT,0,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,FUT
Johnny Speeds,Ursa,2,1,CCT Season 3 Europe Series 14,Results for January 29th 2026,Johnny Speeds
Zingaro,Bounty Hunters,0,2,FiRe CONTER Season 1,Results for January 29th 2026,Bounty Hunters
Ninjas in Pyjamas,Passion UA,2,1,IEM Kraków 2026 Stage 1,Results for January 29th 2026,Ninjas in Pyjamas
ENCE,Nemiga,0,2,CCT Season 3 Europe Series 13,Results for January 29th 2026,Nemiga
GenOne,AM,1,2,NODWIN Clutch Series 4,Results for January 29th 2026,AM
BC.Game,3DMAX,0,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,3DMAX
ODDIK,Bounty Hunters,2,0,FiRe CONTER Season 1,Results for January 29th 2026,ODDIK
1win,illwill,2,1,CCT Season 3 Europe Series 13,Results for January 29th 2026,1win
Aurora,PARIVISION,1,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,PARIVISION
Imperial,Zingaro,2,0,FiRe CONTER Season 1,Results for January 29th 2026,Imperial
paiN,B8,2,0,IEM Kraków 2026 Stage 1,Results for January 29th 2026,paiN
FAVBET,SIXSEVEN,2,0,CCT Season 3 Europe Series 14,Results for January 29th 2026,FAVBET
Johnny Speeds,magic,0,2,European Pro League Series 4,Results for January 29th 2026,magic
ex-RUBY,Fingers Crossed,0,2,NODWIN Clutch Series 4,Results for January 29th 2026,Fingers Crossed
Metizport,FORZE Reload,1,2,CCT Season 3 Europe Series 14,Results for January 29th 2026,FORZE Reload
1win,UNiTY,2,1,European Pro League Series 4,Results for January 29th 2026,1win
Nemesis,SINNERS,0,2,CCT Season 3 Europe Series 13,Results for January 29th 2026,SINNERS
ARCRED,BRUTE,2,0,NODWIN Clutch Series 4,Results for January 29th 2026,ARCRED
Passion UA,G2,1,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,G2
ex-RUBY,illwill,1,2,NODWIN Clutch Series 4,Results for January 28th 2026,illwill
Oramond,Leo,2,0,CCT Season 3 Europe Series 14,Results for January 28th 2026,Oramond
Liquid,Ninjas in Pyjamas,2,0,IEM Kraków 2026 Stage 1,Results for January 28th 2026,Liquid
FUT,3DMAX,1,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,3DMAX
Fingers Crossed,magic,1,2,CCT Season 3 Europe Series 14,Results for January 28th 2026,magic
BIG,ARCRED,1,0,CCT Season 3 Europe Series 13,Results for January 28th 2026,BIG
BetBoom,HOTU,2,1,MySkill Pro League Series 1,Results for January 28th 2026,BetBoom
Metizport,Bebop,0,2,European Pro League Series 4,Results for January 28th 2026,Bebop
GenOne,Eternal Fire,2,0,NODWIN Clutch Series 4,Results for January 28th 2026,GenOne
Legacy,BC.Game,0,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,BC.Game
EYEBALLERS,1win,0,2,CCT Season 3 Europe Series 13,Results for January 28th 2026,1win
NRG,B8,2,1,IEM Kraków 2026 Stage 1,Results for January 28th 2026,NRG
ARCRED,kONO,2,1,NODWIN Clutch Series 4,Results for January 28th 2026,ARCRED
ENCE,ex-RUBY,2,1,CCT Season 3 Europe Series 13,Results for January 28th 2026,ENCE
FAVBET,MOUZ NXT,2,1,European Pro League Series 4,Results for January 28th 2026,FAVBET
Astralis,paiN,2,0,IEM Kraków 2026 Stage 1,Results for January 28th 2026,Astralis
AM,MINLATE,0,2,CCT Season 3 Europe Series 14,Results for January 28th 2026,MINLATE
ALLINNERS,HOTU,0,2,MySkill Pro League Series 1,Results for January 28th 2026,HOTU
HEROIC,PARIVISION,1,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,PARIVISION
KOLESIE,ex-RUBY,2,1,CCT Season 3 Europe Series 14,Results for January 28th 2026,KOLESIE
UNiTY,Betclic,2,1,NODWIN Clutch Series 4,Results for January 28th 2026,UNiTY
Aurora,GamerLegion,2,0,IEM Kraków 2026 Stage 1,Results for January 28th 2026,Aurora
BetBoom,HOTU,2,1,MySkill Pro League Series 1,Results for January 28th 2026,BetBoom
Inner Circle,Fingers Crossed,2,0,European Pro League Series 4,Results for January 28th 2026,Inner Circle
ALLINNERS,mix52,2,1,MySkill Pro League Series 1,Results for January 28th 2026,ALLINNERS
SINNERS,Nuclear TigeRES,2,0,CCT Season 3 Europe Series 13,Results for January 28th 2026,SINNERS
1win,Ursa,2,0,CCT Season 3 Europe Series 14,Results for January 27th 2026,1win
AM,Nemiga,1,2,NODWIN Clutch Series 4,Results for January 27th 2026,Nemiga
GamerLegion,BET-M,0,2,CCT Season 3 Europe Series 13,Results for January 27th 2026,BET-M
SIXSEVEN,Metizport,0,2,CCT Season 3 Europe Series 14,Results for January 27th 2026,Metizport
mix52,NOVAQ,2,0,MySkill Pro League Series 1,Results for January 27th 2026,mix52
ALLINNERS,Omega,2,0,MySkill Pro League Series 1,Results for January 27th 2026,ALLINNERS
MOUZ NXT,FAVBET,0,2,NODWIN Clutch Series 4,Results for January 27th 2026,FAVBET
Virtus.pro,Nemiga,0,2,CCT Season 3 Europe Series 13,Results for January 27th 2026,Nemiga
Johnny Speeds,los kogutos,1,2,CCT Season 3 Europe Series 14,Results for January 27th 2026,los kogutos
KOLESIE,Eternal Fire,2,0,European Pro League Series 4,Results for January 27th 2026,KOLESIE
Fingers Crossed,AaB,1,2,NODWIN Clutch Series 4,Results for January 27th 2026,AaB
Inner Circle,Nemesis,0,2,CCT Season 3 Europe Series 13,Results for January 27th 2026,Nemesis
NOVAQ,ALTAY,2,0,MySkill Pro League Series 1,Results for January 27th 2026,NOVAQ
BetBoom,Omega,2,0,MySkill Pro League Series 1,Results for January 27th 2026,BetBoom
mix52,HOTU,0,2,MySkill Pro League Series 1,Results for January 27th 2026,HOTU
GOOD GAME SPOT,ALLINNERS,0,2,MySkill Pro League Series 1,Results for January 27th 2026,ALLINNERS
FAVBET,FORZE Reload,1,2,CCT Season 3 Europe Series 14,Results for January 27th 2026,FORZE Reload
AM,ex-RUBY,1,2,European Pro League Series 4,Results for January 27th 2026,ex-RUBY
ECSTATIC,illwill,1,2,CCT Season 3 Europe Series 13,Results for January 27th 2026,illwill
Omega,ALLINNERS,2,1,MySkill Pro League Series 1,Results for January 27th 2026,Omega
HOTU,ALTAY,2,0,MySkill Pro League Series 1,Results for January 27th 2026,HOTU
BetBoom,GOOD GAME SPOT,2,0,MySkill Pro League Series 1,Results for January 27th 2026,BetBoom
NOVAQ,mix52,0,2,MySkill Pro League Series 1,Results for January 27th 2026,mix52
ALLINNERS,BRUTE,0,1,NODWIN Clutch Series 4,Results for January 27th 2026,BRUTE
Johnny Speeds,ex-RUBY,1,2,CCT Season 3 Europe Series 14,Results for January 26th 2026,ex-RUBY
AM,BET-M,1,2,CCT Season 3 Europe Series 13,Results for January 26th 2026,BET-M
Fingers Crossed,ARCRED,2,1,NODWIN Clutch Series 4,Results for January 26th 2026,Fingers Crossed
KOLESIE,los kogutos,2,0,CCT Season 3 Europe Series 14,Results for January 26th 2026,KOLESIE
Nemesis,FAVBET,2,1,CCT Season 3 Europe Series 13,Results for January 26th 2026,Nemesis
GenOne,Betclic,0,2,NODWIN Clutch Series 4,Results for January 26th 2026,Betclic
Oramond,FORZE Reload,2,1,CCT Season 3 Europe Series 14,Results for January 26th 2026,Oramond
MASONIC,Acend,2,1,European Pro League Series 4,Results for January 26th 2026,MASONIC
AM,Eternal Fire,2,0,NODWIN Clutch Series 4,Results for January 26th 2026,AM
Sangal,1win,0,2,CCT Season 3 Europe Series 13,Results for January 26th 2026,1win
Nemiga,illwill,2,0,NODWIN Clutch Series 4,Results for January 26th 2026,Nemiga
SIXSEVEN,magic,0,1,CCT Season 3 Europe Series 14,Results for January 26th 2026,magic
Gaimin Gladiators,MIBR,0,3,BetBoom Circuit X Redemption Curitiba 2026,Results for January 25th 2026,MIBR
Fingers Crossed,Metizport,2,1,CCT Season 3 Europe Series 14,Results for January 25th 2026,Fingers Crossed
1win,Nemiga,0,2,CCT Season 3 Europe Series 13,Results for January 25th 2026,Nemiga
MIBR,ODDIK,0,1,CCT Season 3 South America Series 7,Results for January 25th 2026,ODDIK
ODDIK,Vasco,2,0,CCT Season 3 South America Series 7,Results for January 25th 2026,ODDIK
