team1,team2,score1,score2,event,date,winner
OverKnight,F5,2,0,Dust2.us Eagle Masters Series 6,Results for February 5th 2026,OverKnight
Players,Bad Luck,1,2,CCT Season 3 South America Series 8,Results for February 5th 2026,Bad Luck
SportsBetExpert,regain,2,0,CCT Season 3 North America Series 3,Results for February 5th 2026,SportsBetExpert
WHITEBIRD,PRIME,2,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 4th 2026,WHITEBIRD
FOLHA AMARELA,GameHunters,2,0,CCT Season 3 South America Series 8,Results for February 4th 2026,FOLHA AMARELA
9INE,los kogutos,2,0,CCT Season 3 Europe Series 14,Results for February 4th 2026,9INE
Betclic,illwill,0,2,NODWIN Clutch Series 4,Results for February 4th 2026,illwill
BetBoom,FORZE Reload,2,1,CCT Season 3 Europe Series 14,Results for February 4th 2026,BetBoom
los kogutos,CSDIILIT,2,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 4th 2026,los kogutos
9INE,Nuclear TigeRES,0,2,NODWIN Clutch Series 4,Results for February 4th 2026,Nuclear TigeRES
LP,Curralzinho,1,0,CCT Season 3 South America Series 8,Results for February 4th 2026,LP
Procyon,Crashers,2,1,CCT Season 3 South America Series 8,Results for February 4th 2026,Procyon
Oramond,FAVBET,3,2,European Pro League Series 4,Results for February 4th 2026,Oramond
ENCE,ex-RUBY,0,2,CCT Season 3 Europe Series 14,Results for February 4th 2026,ex-RUBY
ECSTATIC,Sangal,2,0,NODWIN Clutch Series 4,Results for February 4th 2026,ECSTATIC
Nexus,Bushido Wildcats,1,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 4th 2026,Bushido Wildcats
Nuclear TigeRES,KOLESIE,1,2,CCT Season 3 Europe Series 14,Results for February 4th 2026,KOLESIE
GenOne,AM,2,0,NODWIN Clutch Series 4,Results for February 4th 2026,GenOne
home,MASONIC,0,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 4th 2026,MASONIC
Zomblers,InControl,2,0,Dust2.us Eagle Masters Series 6,Results for February 4th 2026,Zomblers
OverKnight,Outfit 49,0,2,CCT Season 3 North America Series 3,Results for February 4th 2026,Outfit 49
LAG,Zomblers,2,0,CCT Season 3 North America Series 3,Results for February 4th 2026,LAG
Fake do Biru,BESTIA Academy,2,1,CCT Season 3 South America Series 8,Results for February 4th 2026,Fake do Biru
Nemiga,K27,0,2,Exort Cataclysm Season 1,Results for February 3rd 2026,K27
Falcons,MOUZ,0,2,IEM Kraków 2026,Results for February 3rd 2026,MOUZ
FURIA fe,Vasco,0,2,CCT Season 3 South America Series 8,Results for February 3rd 2026,Vasco
SINNERS,magic,1,2,CCT Season 3 Europe Series 14,Results for February 3rd 2026,magic
Vitality,Aurora,2,0,IEM Kraków 2026,Results for February 3rd 2026,Vitality
ECSTATIC,Fingers Crossed,2,0,NODWIN Clutch Series 4,Results for February 3rd 2026,ECSTATIC
Omega,VP.Prodigy,2,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 3rd 2026,Omega
ARCRED,K27,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,K27
ShindeN,9z,1,2,CCT Season 3 South America Series 8,Results for February 3rd 2026,9z
G2,Spirit,1,2,IEM Kraków 2026,Results for February 3rd 2026,Spirit
Astralis,FURIA,1,2,IEM Kraków 2026,Results for February 3rd 2026,FURIA
Sashi,AM,1,2,NODWIN Clutch Series 4,Results for February 3rd 2026,AM
HOTU,FAVBET,0,2,CCT Season 3 Europe Series 14,Results for February 3rd 2026,FAVBET
Aurora Young Blud,Rebels,2,0,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 3rd 2026,Aurora Young Blud
K27,Nuclear TigeRES,2,1,Exort Cataclysm Season 1,Results for February 3rd 2026,K27
ARCRED,Nemiga,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,Nemiga
SINNERS,GenOne,1,2,NODWIN Clutch Series 4,Results for February 3rd 2026,GenOne
MOUZ,FaZe,2,0,IEM Kraków 2026,Results for February 3rd 2026,MOUZ
3DMAX,Falcons,0,2,IEM Kraków 2026,Results for February 3rd 2026,Falcons
ECSTATIC,Oramond,2,0,CCT Season 3 Europe Series 14,Results for February 3rd 2026,ECSTATIC
Bebop,QUAZAR,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 3rd 2026,QUAZAR
WHITEBIRD,Nuclear TigeRES,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,Nuclear TigeRES
EYEBALLERS,1win,2,1,CCT Season 3 Europe Series 14,Results for February 3rd 2026,EYEBALLERS
K27,Nemesis,2,1,Exort Cataclysm Season 1,Results for February 3rd 2026,K27
WW,Pigeons,2,0,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 3rd 2026,WW
magic,ex-RUBY,0,2,European Pro League Series 4,Results for February 3rd 2026,ex-RUBY
Nemesis,illwill,0,1,NODWIN Clutch Series 4,Results for February 3rd 2026,illwill
