team1,team2,score1,score2,event,date,winner,rank1,rank2
RUSTEC,1win,1,2,ESEA Advanced Season 54 Europe,Results for September 2nd 2025,1win,98,77
Spirit,G2,1,2,BLAST Open London 2025,Results for September 2nd 2025,G2,5,9
BetBoom,PARIVISION,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for September 1st 2025,PARIVISION,32,6
MOUZ,FURIA,0,2,BLAST Open London 2025,Results for September 1st 2025,FURIA,4,2
fnatic,M80,0,2,BLAST Open London 2025,Results for September 1st 2025,M80,33,24
Vitality,FaZe,2,1,BLAST Open London 2025,Results for September 1st 2025,Vitality,1,7
Nuclear TigeRES,K27,2,0,Majestic LanDaLan 3 Closed Qualifier,Results for September 1st 2025,Nuclear TigeRES,43,40
9z,BESTIA,1,2,ESL Challenger League Season 50 South America Cup 1,Results for September 1st 2025,BESTIA,42,37
PARIVISION,9INE,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 31st 2025,PARIVISION,6,41
FlyQuest,G2,0,2,BLAST Open London 2025,Results for August 31st 2025,G2,29,9
Liquid,Spirit,0,2,BLAST Open London 2025,Results for August 31st 2025,Spirit,15,5
fnatic,Monte,2,0,Digital Crusade DraculaN Season 1,Results for August 31st 2025,fnatic,33,31
M80,Natus Vincere,2,1,BLAST Open London 2025,Results for August 31st 2025,M80,24,8
ENCE,Monte,0,2,Digital Crusade DraculaN Season 1,Results for August 31st 2025,Monte,70,31
FUT,BetBoom,1,2,CCT Season 3 Europe Series 5,Results for August 31st 2025,BetBoom,14,32
3DMAX,TYLOO,2,0,Perfect World CS Challenge Series 1,Results for August 31st 2025,3DMAX,13,30
fnatic,GamerLegion,2,0,BLAST Open London 2025,Results for August 31st 2025,fnatic,33,20
CYBERSHOKE,K27,0,2,Majestic LanDaLan 3 Closed Qualifier,Results for August 31st 2025,K27,58,40
TYLOO,Lynn Vision,2,1,Perfect World CS Challenge Series 1,Results for August 31st 2025,TYLOO,30,36
BESTIA,RED Canids,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 31st 2025,BESTIA,37,38
Monte,fnatic,1,2,Digital Crusade DraculaN Season 1,Results for August 30th 2025,fnatic,31,33
Spirit,FURIA,0,2,BLAST Open London 2025,Results for August 30th 2025,FURIA,5,2
ENCE,9INE,2,0,Digital Crusade DraculaN Season 1,Results for August 30th 2025,ENCE,70,41
MOUZ,G2,2,0,BLAST Open London 2025,Results for August 30th 2025,MOUZ,4,9
CYBERSHOKE,1win,2,1,Majestic LanDaLan 3 Closed Qualifier,Results for August 30th 2025,CYBERSHOKE,58,77
EYEBALLERS,9INE,1,2,Digital Crusade DraculaN Season 1,Results for August 30th 2025,9INE,34,41
BetBoom,9INE,1,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 30th 2025,BetBoom,32,41
Gentle Mates,ENCE,0,2,Digital Crusade DraculaN Season 1,Results for August 30th 2025,ENCE,27,70
FlyQuest,Legacy,2,1,BLAST Open London 2025,Results for August 30th 2025,FlyQuest,29,25
BetBoom,OG,2,1,CCT Season 3 Europe Series 5,Results for August 30th 2025,BetBoom,32,52
Ninjas in Pyjamas,ENCE,1,2,Digital Crusade DraculaN Season 1,Results for August 30th 2025,ENCE,21,70
The Huns,Chinggis Warriors,2,1,MESA Pro Series Fall 2025,Results for August 30th 2025,The Huns,67,83
Imperial,Liquid,1,2,BLAST Open London 2025,Results for August 30th 2025,Liquid,23,15
Passion UA,9INE,0,2,Digital Crusade DraculaN Season 1,Results for August 30th 2025,9INE,17,41
FUT,Alliance,2,1,CCT Season 3 Europe Series 5,Results for August 30th 2025,FUT,14,76
Lynn Vision,B8,2,1,Perfect World CS Challenge Series 1,Results for August 30th 2025,Lynn Vision,36,16
EYEBALLERS,fnatic,1,2,Digital Crusade DraculaN Season 1,Results for August 30th 2025,fnatic,34,33
Eruption,Chinggis Warriors,0,2,MESA Pro Series Fall 2025,Results for August 30th 2025,Chinggis Warriors,95,83
Monte,Gentle Mates,2,0,Digital Crusade DraculaN Season 1,Results for August 30th 2025,Monte,31,27
Chinggis Warriors,The Huns,0,2,MESA Pro Series Fall 2025,Results for August 30th 2025,The Huns,83,67
Rare Atom,Lynn Vision,1,2,Perfect World CS Challenge Series 1,Results for August 30th 2025,Lynn Vision,72,36
RED Canids,9z,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 30th 2025,9z,38,42
Gentle Mates,9INE,2,1,Digital Crusade DraculaN Season 1,Results for August 29th 2025,Gentle Mates,27,41
fnatic,ENCE,2,1,Digital Crusade DraculaN Season 1,Results for August 29th 2025,fnatic,33,70
FaZe,Natus Vincere,2,0,BLAST Open London 2025,Results for August 29th 2025,FaZe,7,8
NRG,M80,1,0,ESL Challenger League Season 50 North America Cup 1,Results for August 29th 2025,NRG,19,24
BIG Academy,G2 Ares,1,2,Urban Academies Season 1,Results for August 29th 2025,G2 Ares,81,84
Vitality,GamerLegion,2,1,BLAST Open London 2025,Results for August 29th 2025,Vitality,1,20
Ninjas in Pyjamas,EYEBALLERS,1,2,Digital Crusade DraculaN Season 1,Results for August 29th 2025,EYEBALLERS,21,34
Passion UA,Monte,0,2,Digital Crusade DraculaN Season 1,Results for August 29th 2025,Monte,17,31
Lynn Vision,Rare Atom,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 29th 2025,Lynn Vision,36,72
M80,Virtus.pro,2,1,BLAST Open London 2025,Results for August 29th 2025,M80,24,61
ARCRED,FORZE Reload,1,2,Majestic LanDaLan 3 Closed Qualifier,Results for August 29th 2025,FORZE Reload,60,90
3DMAX,TYLOO,2,1,Perfect World CS Challenge Series 1,Results for August 29th 2025,3DMAX,13,30
Monte,Tricked,13,2,Digital Crusade DraculaN Season 1,Results for August 29th 2025,Monte,31,59
9INE,Inner Circle,13,3,Digital Crusade DraculaN Season 1,Results for August 29th 2025,9INE,41,44
ECSTATIC,fnatic,0,2,BLAST Open London 2025,Results for August 29th 2025,fnatic,50,33
TYLOO,B8,2,1,Perfect World CS Challenge Series 1,Results for August 29th 2025,TYLOO,30,16
Chinggis Warriors,Eruption,2,1,MESA Pro Series Fall 2025,Results for August 29th 2025,Chinggis Warriors,83,95
3DMAX,Lynn Vision,2,0,Perfect World CS Challenge Series 1,Results for August 29th 2025,3DMAX,13,36
Fluxo,BESTIA,1,2,ESL Challenger League Season 50 South America Cup 1,Results for August 29th 2025,BESTIA,66,37
FURIA,Legacy,2,1,BLAST Open London 2025,Results for August 28th 2025,FURIA,2,25
OG,PARIVISION,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 28th 2025,PARIVISION,52,6
BetBoom,Monte,2,0,CCT Season 3 Europe Series 5,Results for August 28th 2025,BetBoom,32,31
CYBERSHOKE,Nuclear TigeRES,1,2,Majestic LanDaLan 3 Closed Qualifier,Results for August 28th 2025,Nuclear TigeRES,58,43
Spirit,FlyQuest,2,0,BLAST Open London 2025,Results for August 28th 2025,Spirit,5,29
G2,Liquid,2,0,BLAST Open London 2025,Results for August 28th 2025,G2,9,15
ENCE,ARCRED,0,2,CCT Season 3 Europe Series 5,Results for August 28th 2025,ARCRED,70,60
MOUZ,Imperial,2,1,BLAST Open London 2025,Results for August 28th 2025,MOUZ,4,23
HOTU,Alliance,1,2,CCT Season 3 Europe Series 5,Results for August 28th 2025,Alliance,35,76
Sangal,1win,2,1,Majestic LanDaLan 3 Closed Qualifier,Results for August 28th 2025,Sangal,97,77
Natus Vincere,fnatic,2,0,BLAST Open London 2025,Results for August 27th 2025,Natus Vincere,8,33
Johnny Speeds,ENCE,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 27th 2025,ENCE,73,70
PARIVISION,9INE,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 27th 2025,9INE,6,41
Sangal,FORZE Reload,2,1,Majestic LanDaLan 3 Closed Qualifier,Results for August 27th 2025,Sangal,97,90
Gentle Mates,OG,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 27th 2025,OG,27,52
FaZe,ECSTATIC,2,1,BLAST Open London 2025,Results for August 27th 2025,FaZe,7,50
Rare Atom,Lynn Vision,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 27th 2025,Lynn Vision,72,36
GamerLegion,Virtus.pro,2,0,BLAST Open London 2025,Results for August 27th 2025,GamerLegion,20,61
Vitality,M80,2,1,BLAST Open London 2025,Results for August 27th 2025,Vitality,1,24
BESTIA,9z,1,2,ESL Challenger League Season 50 South America Cup 1,Results for August 27th 2025,9z,37,42
Fluxo,ShindeN,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 27th 2025,Fluxo,66,71
OG,BC.Game,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 26th 2025,OG,52,26
Gentle Mates,Nemiga,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 26th 2025,Gentle Mates,27,55
Betclic,Monte,1,2,CCT Season 3 Europe Series 5,Results for August 26th 2025,Monte,93,31
Sangal,Nuclear TigeRES,0,2,Majestic LanDaLan 3 Closed Qualifier,Results for August 24th 2025,Nuclear TigeRES,97,43
The MongolZ,Aurora,3,0,Esports World Cup 2025,Results for August 24th 2025,The MongolZ,10,11
Tricked,Monte,0,2,CCT Season 3 Europe Series 5,Results for August 24th 2025,Monte,59,31
CYBERSHOKE,K27,2,1,Majestic LanDaLan 3 Closed Qualifier,Results for August 24th 2025,CYBERSHOKE,58,40
Vitality,Falcons,1,2,Esports World Cup 2025,Results for August 24th 2025,Falcons,1,3
Aurora,Falcons,2,0,Esports World Cup 2025,Results for August 23rd 2025,Aurora,11,3
The MongolZ,Vitality,2,1,Esports World Cup 2025,Results for August 23rd 2025,The MongolZ,10,1
Alliance,EYEBALLERS,2,3,European Pro League Season 27,Results for August 23rd 2025,EYEBALLERS,76,34
Marsborne,BOSS,2,0,Dust2.us Eagle Masters Series 3,Results for August 23rd 2025,Marsborne,53,94
Falcons,MOUZ,2,1,Esports World Cup 2025,Results for August 22nd 2025,Falcons,3,4
BC.Game,BetBoom,0,2,Exort The Proving Grounds Season 3,Results for August 22nd 2025,BetBoom,26,32
HEROIC,Aurora,0,2,Esports World Cup 2025,Results for August 22nd 2025,Aurora,22,11
Alliance,ARCRED,2,0,CCT Season 3 Europe Series 5,Results for August 22nd 2025,Alliance,76,60
FORZE Reload,EYEBALLERS,1,2,European Pro League Season 27,Results for August 22nd 2025,EYEBALLERS,90,34
BC.Game,OG,2,0,Exort The Proving Grounds Season 3,Results for August 22nd 2025,BC.Game,26,52
EYEBALLERS,BIG Academy,2,0,United21 League Season 36,Results for August 22nd 2025,EYEBALLERS,34,81
TYLOO,Vitality,0,2,Esports World Cup 2025,Results for August 21st 2025,Vitality,30,1
The MongolZ,3DMAX,2,1,Esports World Cup 2025,Results for August 21st 2025,The MongolZ,10,13
fnatic,OG,0,2,Exort The Proving Grounds Season 3,Results for August 21st 2025,OG,33,52
MOUZ,Virtus.pro,2,1,Esports World Cup 2025,Results for August 21st 2025,MOUZ,4,61
GenOne,EYEBALLERS,0,2,European Pro League Season 27,Results for August 21st 2025,EYEBALLERS,56,34
G2,Falcons,0,2,Esports World Cup 2025,Results for August 21st 2025,Falcons,9,3
Alliance,FORZE Reload,2,1,European Pro League Season 27,Results for August 21st 2025,Alliance,76,90
ECSTATIC,BetBoom,1,2,Exort The Proving Grounds Season 3,Results for August 21st 2025,BetBoom,50,32
FAVBET,Monte,0,2,CCT Season 3 Europe Series 5,Results for August 21st 2025,Monte,68,31
ARCRED,1win,0,2,Majestic LanDaLan 3 Closed Qualifier,Results for August 21st 2025,1win,60,77
Sharks,Fluxo,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 21st 2025,Fluxo,39,66
FaZe,Aurora,1,2,Esports World Cup 2025,Results for August 20th 2025,Aurora,7,11
Spirit,HEROIC,1,2,Esports World Cup 2025,Results for August 20th 2025,HEROIC,5,22
BetBoom,Betclic,2,0,Exort The Proving Grounds Season 3,Results for August 20th 2025,BetBoom,32,93
Tricked,ARCRED,0,2,CCT Season 3 Europe Series 5,Results for August 20th 2025,ARCRED,59,60
Vitality,Liquid,2,0,Esports World Cup 2025,Results for August 20th 2025,Vitality,1,15
TYLOO,Astralis,2,1,Esports World Cup 2025,Results for August 20th 2025,TYLOO,30,12
CYBERSHOKE,FORZE Reload,0,2,Majestic LanDaLan 3 Closed Qualifier,Results for August 20th 2025,FORZE Reload,58,90
Natus Vincere,3DMAX,1,2,Esports World Cup 2025,Results for August 20th 2025,3DMAX,8,13
G2 Ares,BIG Academy,1,2,United21 League Season 36,Results for August 20th 2025,BIG Academy,84,81
GenOne,K27,2,1,European Pro League Season 27,Results for August 20th 2025,GenOne,56,40
GamerLegion,The MongolZ,0,2,Esports World Cup 2025,Results for August 20th 2025,The MongolZ,20,10
ENCE,BC.Game,0,2,Exort The Proving Grounds Season 3,Results for August 20th 2025,BC.Game,70,26
fnatic,Tricked,2,0,Exort The Proving Grounds Season 3,Results for August 20th 2025,fnatic,33,59
Wildcard,BOSS,2,0,Dust2.us Eagle Masters Series 3,Results for August 20th 2025,Wildcard,75,94
Fluxo,9z,2,0,CCT Season 3 South America Series 3,Results for August 20th 2025,Fluxo,66,42
Sharks,9z,1,2,CCT Season 3 South America Series 3,Results for August 19th 2025,9z,39,42
K27,FORZE Reload,1,2,European Pro League Season 27,Results for August 19th 2025,FORZE Reload,40,90
ECSTATIC,HOTU,2,0,Exort The Proving Grounds Season 3,Results for August 19th 2025,ECSTATIC,50,35
Alliance,EYEBALLERS,2,0,European Pro League Season 27,Results for August 19th 2025,Alliance,76,34
BESTIA,Fluxo,1,2,CCT Season 3 South America Series 3,Results for August 19th 2025,Fluxo,37,66
Passion UA,CYBERSHOKE,0,1,Exort The Proving Grounds Season 3,Results for August 18th 2025,CYBERSHOKE,17,58
Tricked,JiJieHao,2,1,Exort The Proving Grounds Season 3,Results for August 18th 2025,Tricked,59,79
ARCRED,HOTU,0,2,Exort The Proving Grounds Season 3,Results for August 18th 2025,HOTU,60,35
9z,ODDIK,2,0,CCT Season 3 South America Series 3,Results for August 18th 2025,9z,42,47
Fluxo,Imperial,0,2,CS Asia Championships 2025 Americas Open Qualifier,Results for August 18th 2025,Imperial,66,23
Sharks,Bounty Hunters,2,0,CCT Season 3 South America Series 3,Results for August 18th 2025,Sharks,39,88
Imperial,BESTIA,2,1,CS Asia Championships 2025 Americas Open Qualifier,Results for August 18th 2025,Imperial,23,37
PARIVISION,ECSTATIC,2,1,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 17th 2025,PARIVISION,6,50
Fluxo,9z,1,0,CS Asia Championships 2025 Americas Open Qualifier,Results for August 17th 2025,Fluxo,66,42
Spirit,The MongolZ,3,0,BLAST Bounty 2025 Season 2 Finals,Results for August 17th 2025,Spirit,5,10
G2 Ares,EYEBALLERS,1,2,United21 League Season 36,Results for August 17th 2025,EYEBALLERS,84,34
9INE,BIG,2,1,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 17th 2025,9INE,41,63
OG,FUT,2,0,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 17th 2025,OG,52,14
GenOne,Alliance,0,2,European Pro League Season 27,Results for August 17th 2025,Alliance,56,76
9INE,Johnny Speeds,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 16th 2025,9INE,41,73
BetBoom,BC.Game,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 16th 2025,BetBoom,32,26
ENCE,PARIVISION,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 16th 2025,PARIVISION,70,6
OG,BIG,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 16th 2025,OG,52,63
Vitality,The MongolZ,0,2,BLAST Bounty 2025 Season 2 Finals,Results for August 16th 2025,The MongolZ,1,10
ENCE,fnatic,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 16th 2025,fnatic,70,33
MOUZ,Spirit,0,2,BLAST Bounty 2025 Season 2 Finals,Results for August 16th 2025,Spirit,4,5
9INE,CYBERSHOKE,0,2,Exort The Proving Grounds Season 3,Results for August 16th 2025,CYBERSHOKE,41,58
BC.Game,ARCRED,2,0,Exort The Proving Grounds Season 3,Results for August 16th 2025,BC.Game,26,60
JiJieHao,ECSTATIC,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 16th 2025,ECSTATIC,79,50
NRG,Wildcard,2,0,CCT Season 3 North America Series 1,Results for August 16th 2025,NRG,19,75
Imperial,ODDIK,2,0,Circuito FERJEE de Esports 2025 Finals,Results for August 16th 2025,Imperial,23,47
BESTIA,Sharks,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 16th 2025,BESTIA,37,39
HOTU,9INE,0,2,Exort The Proving Grounds Season 3,Results for August 15th 2025,9INE,35,41
ODDIK,Sharks,2,1,Circuito FERJEE de Esports 2025 Finals,Results for August 15th 2025,ODDIK,47,39
Imperial,RED Canids,0,1,ESL Challenger League Season 50 South America Cup 1,Results for August 15th 2025,RED Canids,23,38
Sangal,CYBERSHOKE,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,Sangal,97,58
Betclic,BIG,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,BIG,93,63
Spirit,Virtus.pro,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 15th 2025,Spirit,5,61
Vitality,Liquid,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 15th 2025,Vitality,1,15
ARCRED,Sangal,2,1,Exort The Proving Grounds Season 3,Results for August 15th 2025,ARCRED,60,97
BetBoom,fnatic,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,fnatic,32,33
OG,JiJieHao,2,0,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,OG,52,79
Passion UA,Ninjas in Pyjamas,0,1,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,Ninjas in Pyjamas,17,21
M80,Marsborne,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,M80,24,53
M80,Wildcard,0,2,CCT Season 3 North America Series 1,Results for August 15th 2025,Wildcard,24,75
Sharks,RED Canids,2,1,Circuito FERJEE de Esports 2025 Finals,Results for August 14th 2025,Sharks,39,38
Johnny Speeds,BIG,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,Johnny Speeds,73,63
Betclic,Tricked,2,1,Exort The Proving Grounds Season 3,Results for August 14th 2025,Betclic,93,59
BetBoom,HOTU,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,BetBoom,32,35
9INE,OG,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,9INE,41,52
Nemiga,Alliance,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,Nemiga,55,76
CYBERSHOKE,ENCE,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,ENCE,58,70
The MongolZ,Aurora,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 14th 2025,The MongolZ,10,11
ODDIK,Imperial,0,2,Circuito FERJEE de Esports 2025 Finals,Results for August 14th 2025,Imperial,47,23
ENCE,SINNERS,2,1,Thunderpick World Championship 2025 European Series 2,Results for August 14th 2025,ENCE,70,65
MOUZ,Astralis,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 14th 2025,MOUZ,4,12
Lynn Vision,The Huns,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 14th 2025,Lynn Vision,36,67
ECSTATIC,JiJieHao,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 14th 2025,JiJieHao,50,79
ENCE,Betclic,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 14th 2025,ENCE,70,93
Imperial,RED Canids,2,1,Circuito FERJEE de Esports 2025 Finals,Results for August 14th 2025,Imperial,23,38
M80,Marsborne,2,0,CCT Season 3 North America Series 1,Results for August 14th 2025,M80,24,53
ENCE,PARIVISION,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,PARIVISION,70,6
HOTU,SINNERS,0,2,Thunderpick World Championship 2025 European Series 2,Results for August 13th 2025,SINNERS,35,65
BIG,9INE,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,9INE,63,41
Betclic,Passion UA,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,Betclic,93,17
Sharks,ODDIK,0,2,Circuito FERJEE de Esports 2025 Finals,Results for August 13th 2025,ODDIK,39,47
fnatic,PARIVISION,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,PARIVISION,33,6
Ninjas in Pyjamas,9INE,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,9INE,21,41
ENCE,BetBoom,2,1,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,ENCE,70,32
BIG,Passion UA,2,0,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,BIG,63,17
Imperial,ShindeN,2,1,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,Imperial,23,71
NRG,BOSS,2,0,CCT Season 3 North America Series 1,Results for August 13th 2025,NRG,19,94
9z,Bounty Hunters,1,0,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,9z,42,88
9INE,Tricked,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,9INE,41,59
HOTU,ARCRED,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 12th 2025,HOTU,35,60
Sashi,PARIVISION,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,PARIVISION,78,6
Betclic,FAVBET,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 12th 2025,Betclic,93,68
Chinggis Warriors,The Huns,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,The Huns,83,67
Rare Atom,Eruption,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,Rare Atom,72,95
Alliance,SINNERS,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 12th 2025,SINNERS,76,65
UNiTY,MOUZ NXT,2,1,ESEA League Season 54 Europe Elite Cup 1,Results for August 12th 2025,UNiTY,91,69
HOTU,Tricked,1,2,Exort The Proving Grounds Season 3,Results for August 12th 2025,Tricked,35,59
Alliance,Sangal,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,Alliance,76,97
Betclic,BC.Game,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,BC.Game,93,26
GamerLegion,BIG,2,1,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,GamerLegion,20,63
HEROIC,Passion UA,2,1,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,HEROIC,22,17
Ninjas in Pyjamas,FUT,1,2,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,FUT,21,14
JiJieHao,ARCRED,1,2,Exort The Proving Grounds Season 3,Results for August 11th 2025,ARCRED,79,60
fnatic,ECSTATIC,2,0,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,fnatic,33,50
Alliance,FORZE Reload,1,2,European Pro League Season 27,Results for August 11th 2025,FORZE Reload,76,90
Sangal,Tricked,1,2,Exort The Proving Grounds Season 3,Results for August 11th 2025,Tricked,97,59
PARIVISION,OG,0,2,CCT Season 3 Europe Series 4,Results for August 10th 2025,OG,6,52
FUT,BetBoom,13,4,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,FUT,14,32
Legacy,Vitality,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,Vitality,25,1
CYBERSHOKE,BC.Game,1,2,Exort The Proving Grounds Season 3,Results for August 10th 2025,BC.Game,58,26
Nemiga,Passion UA,5,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Passion UA,55,17
BetBoom,Sashi,19,15,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,BetBoom,32,78
ECSTATIC,Sangal,13,11,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,ECSTATIC,50,97
Passion UA,1win,13,7,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Passion UA,17,77
BIG,EYEBALLERS,13,9,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,BIG,63,34
HEROIC,Aurora,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,Aurora,22,11
OG,Sangal,0,1,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Sangal,52,97
Inner Circle,Sashi,8,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,Sashi,44,78
HOTU,EYEBALLERS,4,13,CS Asia Championships 2025 Europe Open Qualifier,Results for August 10th 2025,EYEBALLERS,35,34
B8,MOUZ,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,MOUZ,16,4
paiN,The MongolZ,0,2,BLAST Bounty 2025 Season 2,Results for August 10th 2025,The MongolZ,18,10
PARIVISION,fnatic,2,0,CCT Season 3 Europe Series 4,Results for August 10th 2025,PARIVISION,6,33
BOSS,Marsborne,0,2,CCT Season 3 North America Series 1,Results for August 10th 2025,Marsborne,94,53
Liquid,FURIA,2,1,BLAST Bounty 2025 Season 2,Results for August 10th 2025,Liquid,15,2
G2,Spirit,1,2,BLAST Bounty 2025 Season 2,Results for August 9th 2025,Spirit,9,5
RUSTEC,ARCRED,0,2,Exort Series 14,Results for August 9th 2025,ARCRED,98,60
FAVBET,Monte,1,0,Thunderpick World Championship 2025 European Series 2,Results for August 9th 2025,FAVBET,68,31
Virtus.pro,FaZe,2,1,BLAST Bounty 2025 Season 2,Results for August 9th 2025,Virtus.pro,61,7
9INE,fnatic,0,2,CCT Season 3 Europe Series 4,Results for August 9th 2025,fnatic,41,33
ENCE,OG,1,2,CCT Season 3 Europe Series 4,Results for August 9th 2025,OG,70,52
Astralis,Natus Vincere,2,1,BLAST Bounty 2025 Season 2,Results for August 9th 2025,Astralis,12,8
fnatic,Sashi,2,0,CCT Season 3 Europe Series 4,Results for August 8th 2025,fnatic,33,78
NRG,Vitality,0,2,BLAST Bounty 2025 Season 2,Results for August 8th 2025,Vitality,19,1
FlyQuest,Aurora,0,2,BLAST Bounty 2025 Season 2,Results for August 8th 2025,Aurora,29,11
OG,Tricked,2,0,CCT Season 3 Europe Series 4,Results for August 8th 2025,OG,52,59
EYEBALLERS,K27,1,0,Exort Series 14,Results for August 8th 2025,EYEBALLERS,34,40
PARIVISION,CYBERSHOKE,2,1,CCT Season 3 Europe Series 4,Results for August 8th 2025,PARIVISION,6,58
ENCE,The MongolZ,1,2,BLAST Bounty 2025 Season 2,Results for August 8th 2025,The MongolZ,70,10
fnatic,Legacy,1,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,Legacy,33,25
Ninjas in Pyjamas,paiN,1,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,paiN,21,18
OG,MOUZ,1,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,MOUZ,52,4
ENCE,Monte,2,0,CCT Season 3 Europe Series 4,Results for August 7th 2025,ENCE,70,31
BIG,FURIA,0,2,BLAST Bounty 2025 Season 2,Results for August 7th 2025,FURIA,63,2
Rare Atom,Astralis,0,2,BLAST Bounty 2025 Season 2,Results for August 6th 2025,Astralis,72,12
Passion UA,Spirit,1,2,BLAST Bounty 2025 Season 2,Results for August 6th 2025,Spirit,17,5
Betclic,Monte,1,2,CCT Season 3 Europe Series 4,Results for August 6th 2025,Monte,93,31
