team1,team2,score1,score2,event,date,match_url,winner
GenOne,VP.Prodigy,1,2,CCT Season 3 Europe Series 15,Results for February 8th 2026,https://www.hltv.org/matches/2389839/genone-vs-vpprodigy-cct-season-3-europe-series-15,VP.Prodigy
Nuclear TigeRES,HAVU,13,3,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390080/nuclear-tigeres-vs-havu-iem-atlanta-2026-open-qualifier,Nuclear TigeRES
pugs4contract,WATERMELON,13,7,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390076/pugs4contract-vs-watermelon-iem-atlanta-2026-open-qualifier,pugs4contract
VODKA,ARCRED,4,13,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390082/vodka-vs-arcred-iem-atlanta-2026-open-qualifier,ARCRED
OG,Metizport,13,0,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390079/og-vs-metizport-iem-atlanta-2026-open-qualifier,OG
MOUZ NXT,AY4S,1,0,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,https://www.hltv.org/matches/2390081/mouz-nxt-vs-ay4s-iem-atlanta-2026-open-qualifier,MOUZ NXT
9z,Sharks,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389924/9z-vs-sharks-ace-sa-masters-2026-season-1-blast-premier-rising-event,9z
Ninjas in Pyjamas,GamerLegion,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389946/ninjas-in-pyjamas-vs-gamerlegion-res-showdown-3-blast-premier-rising-event,Ninjas in Pyjamas
Procyon,FOLHA AMARELA,0,2,CCT Season 3 South America Series 8,Results for February 8th 2026,https://www.hltv.org/matches/2389785/procyon-vs-folha-amarela-cct-season-3-south-america-series-8,FOLHA AMARELA
FAVBET,Nexus,2,1,CCT Season 3 Europe Series 15,Results for February 8th 2026,https://www.hltv.org/matches/2389838/favbet-vs-nexus-cct-season-3-europe-series-15,FAVBET
Lynn Vision,TYLOO,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389939/lynn-vision-vs-tyloo-yuqilin-pinnacle-of-battle-season-2-blast-premier-rising-event,TYLOO
Spirit,MOUZ,2,0,IEM Kraków 2026,Results for February 8th 2026,https://www.hltv.org/matches/2389665/spirit-vs-mouz-iem-krakw-2026,Spirit
Acend,kONO,2,0,CCT Season 3 Europe Series 15,Results for February 8th 2026,https://www.hltv.org/matches/2389837/acend-vs-kono-cct-season-3-europe-series-15,Acend
THUNDER dOWNUNDER,Rooster,2,0,DFRAG Open Series 3,Results for February 8th 2026,https://www.hltv.org/matches/2389747/thunder-downunder-vs-rooster-dfrag-open-series-3,THUNDER dOWNUNDER
Mindfreak,Rooster,1,2,DFRAG Open Series 3,Results for February 8th 2026,https://www.hltv.org/matches/2389746/mindfreak-vs-rooster-dfrag-open-series-3,Rooster
Sakura,LAG,0,2,CCT Season 3 North America Series 3,Results for February 8th 2026,https://www.hltv.org/matches/2389759/sakura-vs-lag-cct-season-3-north-america-series-3,LAG
Marsborne,Zomblers,2,1,CCT Season 3 North America Series 3,Results for February 8th 2026,https://www.hltv.org/matches/2389758/marsborne-vs-zomblers-cct-season-3-north-america-series-3,Marsborne
M80,Passion UA,1,2,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,https://www.hltv.org/matches/2389916/m80-vs-passion-ua-ace-na-masters-2026-season-1-blast-premier-rising-event,Passion UA
OverKnight,Aether,0,2,Dust2.us Eagle Masters Series 6,Results for February 8th 2026,https://www.hltv.org/matches/2389929/overknight-vs-aether-dust2us-eagle-masters-series-6,Aether
RED Canids,Sharks,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389923/red-canids-vs-sharks-ace-sa-masters-2026-season-1-blast-premier-rising-event,Sharks
NRG,Voca,2,1,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389915/nrg-vs-voca-ace-na-masters-2026-season-1-blast-premier-rising-event,NRG
Vitality,MOUZ,2,0,IEM Kraków 2026,Results for February 7th 2026,https://www.hltv.org/matches/2389664/vitality-vs-mouz-iem-krakw-2026,Vitality
Aurora Young Blud,los kogutos,1,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 7th 2026,https://www.hltv.org/matches/2389836/aurora-young-blud-vs-los-kogutos-cct-season-3-europe-series-15-closed-qualifier,los kogutos
ShindeN,GameHunters,2,0,CCT Season 3 South America Series 8,Results for February 7th 2026,https://www.hltv.org/matches/2389783/shinden-vs-gamehunters-cct-season-3-south-america-series-8,ShindeN
Imperial,9z,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,https://www.hltv.org/matches/2389922/imperial-vs-9z-ace-sa-masters-2026-season-1-blast-premier-rising-event,9z
Spirit,FURIA,1,2,IEM Kraków 2026,Results for February 7th 2026,https://www.hltv.org/matches/2389663/spirit-vs-furia-iem-krakw-2026,FURIA
WHITEBIRD,Rebels,2,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 7th 2026,https://www.hltv.org/matches/2389835/whitebird-vs-rebels-cct-season-3-europe-series-15-closed-qualifier,WHITEBIRD
FURIA fe,Bad Luck,0,2,CCT Season 3 South America Series 8,Results for February 7th 2026,https://www.hltv.org/matches/2389784/furia-fe-vs-bad-luck-cct-season-3-south-america-series-8,Bad Luck
